workload,PQSCAAS_no_timeout_mean,PQSCAAS_no_timeout_std,PQSCAAS_with_timeout_mean,PQSCAAS_with_timeout_std,Sinha2026_mean,Sinha2026_std,Yu2021_mean,Yu2021_std,Bai2025_mean,Bai2025_std
1,9411.764706,188.235294,470588.235294,9411.764706,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
2,18823.529412,376.470588,470588.235294,9411.764706,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
4,37647.058824,752.941176,470588.235294,9411.764706,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
8,75294.117647,1505.882353,470588.235294,9411.764706,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
16,150588.235294,3011.764706,470588.235294,9411.764706,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
32,301176.470588,6023.529412,470588.235294,9411.764706,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
64,602352.941176,12047.058824,941176.470588,18823.529412,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
128,1204705.882353,24094.117647,1882352.941176,37647.058824,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
256,2409411.764706,48188.235294,3255961.844197,65119.236884,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
512,4818823.529412,96376.470588,6023529.411765,120470.588235,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645
1024,9637647.058824,192752.941176,12047058.823529,240941.176471,136.560519,6.828026,1568.861242,78.443062,8960.412896,448.020645

