workload,PQSCAAS_mean,PQSCAAS_std,Sinha2026_mean,Sinha2026_std,Yu2021_mean,Yu2021_std,Bai2025_mean,Bai2025_std
1,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
2,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
4,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
8,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
16,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
32,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
64,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
128,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
256,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
512,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757
1024,5000.000000,200.000000,97.559456,4.877973,2976.208192,148.810410,8698.375144,434.918757

