request_rate,PQSCAAS_mean,PQSCAAS_std,Sinha2026_mean,Sinha2026_std,Yu2021_mean,Yu2021_std,Bai2025_mean,Bai2025_std
100.000000,100.000000,0.000000,93.006728,8.332520,101.612895,4.093355,99.886358,4.401231
500.000000,500.000000,0.000000,89.768759,2.049636,496.747250,4.924981,146.126323,2.999033
1000.000000,1000.000000,0.000000,87.642701,0.619742,993.882713,10.248714,143.472278,3.834445
2000.000000,2000.000000,0.000000,90.337190,1.095419,1216.891747,13.383322,144.819735,5.456268
5000.000000,5000.000000,0.000000,91.555837,1.391065,1231.876407,28.166502,145.246564,3.045897
10000.000000,10000.000000,0.000000,88.560471,2.928359,1212.719864,17.419263,145.700517,2.872976
20000.000000,20000.000000,0.000000,89.968424,4.205776,1223.913159,49.479033,153.197630,13.846715
30000.000000,30000.000000,0.000000,86.157232,1.184789,1226.343429,89.926876,141.392356,3.395859
50000.000000,50000.000000,0.000000,86.441999,0.750866,1237.940969,38.856209,144.278985,5.766297

