request_rate,active_enclaves_mean,active_enclaves_std,utilization_mean,utilization_std
100.000000,1.000323,0.001446,0.000041,0.000000
500.000000,0.999553,0.001516,0.000207,0.000000
1000.000000,0.999718,0.001381,0.000415,0.000001
2000.000000,0.999720,0.001294,0.000829,0.000001
5000.000000,1.000055,0.001312,0.002074,0.000003
10000.000000,0.999992,0.001447,0.004147,0.000006
20000.000000,0.999818,0.001271,0.008293,0.000011
30000.000000,1.000490,0.001183,0.012448,0.000015
50000.000000,1.000367,0.001481,0.020744,0.000031

